area;settore;plot;elevation;tri;tpi;rough;slope;flowdir;Ara_Aca;Ara_Ara;Ara_Pse;Mal_Iso;Chi_;Dip_;Pau_;Sym_;Ent_Dip;Ent_Col;Ins_Pso;Ins_Hem;Ins_Thy;Ins_Col;Ins_Hym;Ins_Dip;Ins_Lep
1;1.1;1.1.1;771.19;1.9;1.2;7.3;13.5;32;65;0;6;0;3;0;1;0;2;154;0;3;0;7;1;2;0
1;1.1;1.1.2;768.83;0.9;-0.2;2.6;6.0;64;141;2;0;0;1;1;0;0;3;129;0;2;0;5;5;5;0
1;1.1;1.1.3;770.16;1.6;-1.1;4.9;10.1;64;29;0;0;0;2;1;2;0;0;52;0;1;0;2;0;4;0
1;1.2;1.2.1;762.81;2.4;1.0;6.9;16.5;64;80;0;0;0;2;1;14;1;0;91;0;2;2;1;0;7;0
1;1.2;1.2.2;760.23;0.9;-0.0;2.6;6.7;64;24;0;0;0;0;0;1;1;1;40;0;0;0;4;46;1;0
1;1.2;1.2.3;756.31;2.0;0.5;6.2;14.5;32;325;2;1;0;2;1;6;0;1;194;0;2;1;2;3;3;0
1;1.3;1.3.1;751.00;1.4;-0.3;5.0;9.8;32;65;0;0;0;3;0;1;0;0;83;0;0;2;0;0;3;0
1;1.3;1.3.2;739.43;1.8;-0.5;6.2;12.6;32;72;3;0;0;0;2;0;0;0;117;0;3;0;4;8;2;0
1;1.3;1.3.3;749.25;2.3;0.6;8.2;16.5;32;101;0;0;0;2;0;4;1;0;102;0;0;2;2;0;3;0
1;1.4;1.4.1;737.88;1.3;0.4;4.3;9.6;64;331;0;0;1;0;1;5;0;4;50;0;1;3;1;0;3;0
1;1.4;1.4.2;736.28;1.4;0.0;4.1;10.1;128;13;0;0;1;0;0;0;0;0;9;0;0;1;2;1;0;0
1;1.4;1.4.3;727.43;1.6;0.1;5.6;11.8;128;74;0;0;0;0;0;0;0;0;37;0;1;1;5;1;2;0
1;1.5;1.5.1;738.57;0.8;-0.1;2.5;6.1;1;298;0;0;0;2;0;1;0;4;55;0;0;0;1;0;5;0
1;1.5;1.5.2;737.52;1.1;-0.2;3.3;8.4;1;109;0;0;0;1;0;1;2;0;28;0;3;0;1;0;8;0
1;1.5;1.5.3;732.79;1.0;-0.4;2.8;7.2;64;62;0;0;0;0;0;1;0;15;56;0;1;0;13;0;16;0
1;1.6;1.6.1;735.04;1.9;0.7;7.2;13.7;128;73;0;0;0;0;0;5;2;0;28;0;1;0;1;0;2;0
1;1.6;1.6.2;729.17;1.6;-0.6;6.2;11.8;128;56;0;0;0;1;0;0;1;6;64;0;1;0;8;1;6;0
1;1.6;1.6.3;727.14;2.2;1.4;7.9;14.3;128;241;0;0;4;0;0;0;0;6;34;0;2;1;13;0;9;0
1;1.7;1.7.1;765.85;1.0;-0.1;3.8;7.8;128;310;2;1;0;1;0;0;0;8;61;0;0;4;5;2;3;0
1;1.7;1.7.2;762.63;1.8;1.1;5.5;11.6;64;73;1;2;0;0;0;0;0;1;137;0;3;4;4;1;1;0
1;1.7;1.7.3;765.63;2.2;1.4;6.8;13.7;64;76;1;1;0;0;0;0;0;0;75;0;1;1;2;1;1;0
1;1.8;1.8.1;743.08;1.5;1.5;4.1;11.2;64;130;0;1;1;0;0;0;1;7;110;0;1;0;5;20;1;0
